"operator","technology","download","speed_kbps","signal_strength","lsa"
"AIRTEL","4G","download","19287","-84","Haryana"
"JIO","4G","upload","918","-107","Maharashtra"
"Vi India","4G","download","12386","-84","Mumbai"
"JIO","4G","download","8423","-101","Haryana"
"JIO","4G","upload","4806","-74","Haryana"
"AIRTEL","4G","upload","18748","-92","Haryana"
"JIO","4G","download","3977","-97","Haryana"
"AIRTEL","4G","upload","7058","-90","Punjab"
"AIRTEL","4G","upload","300","na","Bihar"
"AIRTEL","4G","upload","2821","-98","Haryana"
"JIO","4G","upload","10324","-103","Bihar"
"AIRTEL","4G","upload","8324","-94","Bihar"
"AIRTEL","4G","download","27047","-78","Haryana"
"AIRTEL","4G","download","29895","-79","Haryana"
"JIO","4G","download","20094","-105","Haryana"
"JIO","4G","upload","152","-109","Bihar"
"CELLONE","3G","download","1954","-82","Andhra Pradesh"
"JIO","4G","upload","13823","-88","Rajasthan"
"JIO","4G","download","886","-111","Kerala"
"JIO","4G","upload","4920","-74","UP West"
"JIO","4G","upload","727","-97","Madhya Pradesh"
"AIRTEL","4G","upload","151","-108","Haryana"
"JIO","4G","download","17061","-104","Punjab"
"AIRTEL","4G","upload","1945","-108","Haryana"
"AIRTEL","4G","download","8423","-93","Haryana"
"JIO","4G","upload","22503","-79","Haryana"
"JIO","4G","download","77979","-80","Haryana"
"AIRTEL","4G","download","7806","-100","Haryana"
"JIO","4G","download","18106","-61","Haryana"
"AIRTEL","4G","upload","1573","-98","Haryana"
"AIRTEL","4G","upload","7762","-89","Haryana"
"Vi India","4G","download","14587","-75","Maharashtra"
"JIO","4G","upload","952","-70","Haryana"
"JIO","4G","download","3918","-99","Tamil Nadu"
"AIRTEL","4G","download","716","na","Gujarat"
"JIO","4G","upload","139","-105","Haryana"
"JIO","4G","download","15649","-91","Haryana"
"AIRTEL","4G","download","6477","-106","West Bengal"
"AIRTEL","4G","upload","5712","-96","Chennai"
"JIO","4G","upload","80","-112","Haryana"
"JIO","4G","upload","26926","-80","Haryana"
"AIRTEL","4G","download","26571","-93","Haryana"
"AIRTEL","4G","download","4035","-102","Haryana"
"JIO","4G","upload","3526","-92","UP West"
"JIO","4G","download","18327","-85","Haryana"
"JIO","4G","upload","471","-98","Haryana"
"AIRTEL","4G","download","4102","-106","Haryana"
"JIO","4G","download","22328","-105","Tamil Nadu"
"AIRTEL","4G","upload","2174","-103","Himachal Pradesh"
"Vi India","4G","upload","22464","-89","Chennai"
"AIRTEL","4G","upload","5993","-98","Haryana"
"AIRTEL","4G","download","11752","-92","Haryana"
"AIRTEL","4G","upload","25755","-83","Haryana"
"JIO","4G","download","26358","-81","Haryana"
"AIRTEL","4G","upload","181","-100","Haryana"
"JIO","4G","download","16127","-101","Chennai"
"Vi India","4G","upload","1768","-84","Kolkata"
"JIO","4G","upload","29183","-80","Haryana"
"AIRTEL","4G","download","547","na","Kerala"
"JIO","4G","upload","3554","-103","Bihar"
"AIRTEL","4G","upload","1297","-109","Maharashtra"
"AIRTEL","4G","download","6069","-76","Haryana"
"Vi India","4G","download","3267","-112","Tamil Nadu"
"JIO","4G","download","8834","-97","Haryana"
"JIO","4G","download","14356","-84","Haryana"
"JIO","4G","upload","145","-101","Haryana"
"AIRTEL","4G","download","1309","na","Haryana"
"JIO","4G","upload","8764","-91","Haryana"
"AIRTEL","4G","download","9739","-99","Assam"
"JIO","4G","upload","16367","-89","Andhra Pradesh"
"JIO","4G","download","747","na","Bihar"
"Vi India","4G","upload","6045","-102","Gujarat"
"JIO","4G","download","285","na","Kolkata"
"JIO","4G","upload","3681","-106","Bihar"
"AIRTEL","4G","download","4606","-106","Punjab"
"AIRTEL","4G","upload","17742","-83","Haryana"
"JIO","4G","download","27964","-85","Haryana"
"AIRTEL","4G","upload","89","-99","Haryana"
"Vi India","4G","download","1633","na","Maharashtra"
"AIRTEL","4G","upload","21287","-82","Haryana"
"JIO","4G","download","21766","-75","Haryana"
"JIO","4G","download","2512","-109","Bihar"
"JIO","4G","download","8226","-87","Haryana"
"JIO","4G","upload","365","-104","Haryana"
"JIO","4G","upload","11844","-100","Madhya Pradesh"
"AIRTEL","4G","upload","412","-97","Haryana"
"AIRTEL","4G","upload","15","-103","West Bengal"
"JIO","4G","upload","281","-106","West Bengal"
"AIRTEL","4G","upload","2856","-112","Mumbai"
"JIO","4G","download","17640","-92","Haryana"
"JIO","4G","upload","18030","-102","Haryana"
"AIRTEL","4G","upload","266","-109","Haryana"
"JIO","4G","download","14347","-89","Haryana"
"AIRTEL","4G","upload","57811","-69","Bihar"
"JIO","4G","download","26431","-88","Haryana"
"JIO","4G","upload","556","-97","Maharashtra"
"JIO","4G","download","14257","-77","Haryana"
"AIRTEL","4G","download","32958","-81","Haryana"
"JIO","4G","download","36566","-104","Haryana"
"Vi India","4G","upload","4556","-98","Kolkata"
"AIRTEL","4G","download","30677","-82","Haryana"
"AIRTEL","4G","upload","9649","-93","Haryana"
"AIRTEL","4G","upload","152","na","Haryana"
"JIO","4G","upload","381","-76","Haryana"
"JIO","4G","download","26079","-90","Haryana"
"AIRTEL","4G","upload","20091","-95","Haryana"
"AIRTEL","4G","download","17136","-102","Haryana"
"AIRTEL","4G","upload","7091","-91","Haryana"
"AIRTEL","4G","download","18208","-87","Haryana"
"AIRTEL","4G","download","24384","-103","Haryana"
"JIO","4G","upload","1800","-112","Andhra Pradesh"
"JIO","4G","upload","152","-84","Haryana"
"AIRTEL","4G","download","15584","-101","Andhra Pradesh"
"Vi India","4G","upload","4222","-95","West Bengal"
"AIRTEL","4G","upload","1312","-104","Haryana"
"AIRTEL","4G","download","58880","-93","Haryana"
"JIO","4G","download","1316","-111","Haryana"
"JIO","4G","download","29805","-99","Haryana"
"CELLONE","3G","upload","98","-90","Tamil Nadu"
"JIO","4G","download","14557","-107","Kerala"
"JIO","4G","upload","22499","-99","Maharashtra"
"JIO","4G","download","8118","-81","Haryana"
"JIO","4G","upload","76","-98","Haryana"
"AIRTEL","4G","download","24426","-95","Haryana"
"AIRTEL","4G","download","45315","-93","Haryana"
"JIO","4G","download","43011","-87","Haryana"
"JIO","4G","upload","6747","-109","Haryana"
"Vi India","4G","download","73642","-99","Gujarat"
"AIRTEL","4G","upload","246","na","Haryana"
"JIO","4G","upload","4175","na","Karnataka"
"JIO","4G","upload","513","-112","Kerala"
"AIRTEL","4G","download","86998","-93","Haryana"
"AIRTEL","4G","upload","1346","-99","Haryana"
"JIO","4G","upload","1914","-100","UP West"
"JIO","4G","download","15895","-76","Kolkata"
"JIO","4G","upload","25810","-80","Haryana"
"JIO","4G","download","17929","-78","Haryana"
"AIRTEL","4G","upload","11885","-92","Haryana"
"AIRTEL","4G","download","50044","-94","Haryana"
"JIO","4G","download","20973","-86","Haryana"
"AIRTEL","4G","download","46554","-101","Haryana"
"AIRTEL","4G","download","5088","-94","Haryana"
"JIO","4G","upload","82","-75","Haryana"
"AIRTEL","4G","upload","4333","-96","Haryana"
"AIRTEL","4G","download","3794","-98","Haryana"
"AIRTEL","4G","download","35535","-75","Haryana"
