Operator,In Out Travelling,Network Type,Rating,Call Drop Category,Latitude,Longitude,State Name
RJio,Travelling,4G,4,Satisfactory,-1,-1,NA
Vodafone,Indoor,2G,4,Satisfactory,12.94025971,79.16916088,Tamil Nadu
Vodafone,Indoor,4G,4,Satisfactory,12.94046803,79.16903328,Tamil Nadu
RJio,Outdoor,4G,1,Poor Voice Quality,28.8973652,76.57752538,Haryana
RJio,Outdoor,4G,1,Poor Voice Quality,28.8973652,76.57752538,Haryana
Vodafone,Indoor,3G,4,Satisfactory,12.94046803,79.16903328,Tamil Nadu
Vodafone,Indoor,3G,4,Satisfactory,12.94057746,79.16813207,Tamil Nadu
Vodafone,Outdoor,4G,3,Satisfactory,26.9404427,77.9997372,Uttar Pradesh
RJio,Indoor,4G,3,Satisfactory,22.06353842,75.39984735,Madhya Pradesh
Vodafone,Indoor,3G,4,Satisfactory,12.94033925,79.16897223,Tamil Nadu
RJio,Indoor,4G,5,Satisfactory,19.8727348,75.5403973,Maharashtra
RJio,Indoor,4G,4,Satisfactory,-1,-1,NA
Airtel,Indoor,4G,5,Satisfactory,12.9098203,77.5851071,Karnataka
Airtel,Indoor,4G,5,Satisfactory,12.9098203,77.5851071,Karnataka
Airtel,Indoor,4G,5,Satisfactory,12.9098224,77.5851144,Karnataka
Airtel,Indoor,4G,5,Satisfactory,12.9098194,77.5851081,Karnataka
Airtel,Indoor,4G,1,Call Dropped,-1,-1,NA
Airtel,Indoor,4G,1,Call Dropped,-1,-1,NA
BSNL,Indoor,Unknown,4,Satisfactory,-1,-1,NA
Airtel,Indoor,4G,4,Satisfactory,-1,-1,NA
Idea,Outdoor,Unknown,4,Satisfactory,14.42755206,78.83011405,Andhra Pradesh
Vodafone,Outdoor,2G,3,Satisfactory,26.9585553,78.0207873,Uttar Pradesh
BSNL,Indoor,Unknown,3,Poor Voice Quality,-1,-1,NA
BSNL,Indoor,Unknown,4,Satisfactory,-1,-1,NA
BSNL,Indoor,4G,4,Satisfactory,-1,-1,NA
Vodafone,Outdoor,2G,2,Poor Voice Quality,26.9585553,78.0207873,Uttar Pradesh
RJio,Outdoor,4G,2,Poor Voice Quality,25.9559841,80.14719571,Uttar Pradesh
RJio,Outdoor,4G,1,Call Dropped,25.9559841,80.14719571,Uttar Pradesh
RJio,Outdoor,4G,3,Poor Voice Quality,25.9559841,80.14719571,Uttar Pradesh
RJio,Outdoor,4G,1,Call Dropped,25.95595673,80.14748844,Uttar Pradesh
RJio,Indoor,4G,4,Satisfactory,22.67171473,88.336503,West Bengal
RJio,Indoor,4G,4,Satisfactory,22.67144099,88.33666056,West Bengal
RJio,Indoor,4G,4,Satisfactory,22.67149723,88.33678712,West Bengal
Airtel,Travelling,4G,1,Poor Voice Quality,23.1535111,76.4687802,Madhya Pradesh
Idea,Indoor,4G,2,Poor Voice Quality,29.858485,79.65672167,Uttarakhand
BSNL,Indoor,Unknown,4,Satisfactory,-1,-1,NA
BSNL,Indoor,3G,3,Satisfactory,16.93924633,81.95504702,Andhra Pradesh
Airtel,Indoor,4G,5,Satisfactory,13.0952305,77.58214671,Karnataka
RJio,Indoor,4G,3,Poor Voice Quality,26.8900272,75.8084238,Rajasthan
RJio,Indoor,4G,4,Satisfactory,-1,-1,NA
Vodafone,Indoor,3G,4,Satisfactory,12.9403162,79.16898585,Tamil Nadu
RJio,Indoor,4G,4,Satisfactory,22.67146068,88.33674505,West Bengal
Vodafone,Indoor,4G,3,Poor Voice Quality,22.6357163,88.4401914,West Bengal
Airtel,Indoor,4G,2,Poor Voice Quality,-1,-1,NA
RJio,Indoor,4G,4,Satisfactory,-1,-1,NA
Airtel,Indoor,4G,3,Poor Voice Quality,10.95264609,79.82179086,Pondicherry
RJio,Indoor,4G,5,Satisfactory,15.48505955,78.4740248,Andhra Pradesh
Airtel,Indoor,4G,4,Satisfactory,10.95264609,79.82179086,Pondicherry
Idea,Outdoor,Unknown,3,Poor Voice Quality,14.4583278,78.830825,Andhra Pradesh
Idea,Outdoor,Unknown,3,Poor Voice Quality,14.4583278,78.830825,Andhra Pradesh
Idea,Outdoor,Unknown,4,Satisfactory,14.4583278,78.830825,Andhra Pradesh
Airtel,Indoor,4G,5,Satisfactory,26.86260341,81.01787891,Uttar Pradesh
RJio,Indoor,4G,4,Satisfactory,22.80893607,86.19015486,Jharkhand
Airtel,Outdoor,3G,4,Satisfactory,14.40853594,77.71427242,Andhra Pradesh
Airtel,Indoor,3G,5,Satisfactory,14.40853594,77.71427242,Andhra Pradesh
Idea,Indoor,Unknown,5,Satisfactory,-1,-1,NA
Airtel,Indoor,4G,2,Poor Voice Quality,-1,-1,NA
RJio,Indoor,4G,1,Poor Voice Quality,20.91551205,70.36424707,Gujarat
Vodafone,Indoor,2G,5,Satisfactory,22.6955046,88.3978147,West Bengal
Vodafone,Indoor,2G,5,Satisfactory,22.6955046,88.3978147,West Bengal
