Operator,In Out Travelling,Network Type,Rating,Call Drop Category,Latitude,Longitude,State Name
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
RJio,Outdoor,4G,4,Satisfactory,25.58612216,85.15987622,Bihar
RJio,Outdoor,4G,4,Satisfactory,25.60234357,85.13721172,Bihar
Airtel,Indoor,4G,5,Satisfactory,11.5062335,77.3889632,Tamil Nadu
RJio,Outdoor,4G,4,Satisfactory,25.60198931,85.13617781,Bihar
Vodafone,Indoor,4G,4,Satisfactory,28.63585,77.17567833,NCT
Airtel,Outdoor,4G,4,Satisfactory,17.11807189,79.80859585,Telangana
Airtel,Travelling,4G,1,Poor Voice Quality,28.05511224,76.11734111,Haryana
RJio,Outdoor,4G,4,Satisfactory,25.60260207,85.13797808,Bihar
RJio,Outdoor,4G,4,Satisfactory,25.60226176,85.13761103,Bihar
RJio,Indoor,4G,3,Satisfactory,26.42146384,74.64150941,Rajasthan
RJio,Indoor,4G,5,Satisfactory,-1,-1,NA
RJio,Outdoor,4G,5,Satisfactory,-1,-1,NA
RJio,Outdoor,4G,5,Satisfactory,19.905645,75.50698167,Maharashtra
RJio,Outdoor,4G,5,Satisfactory,19.905645,75.50698167,Maharashtra
RJio,Indoor,4G,5,Satisfactory,-1,-1,NA
RJio,Indoor,4G,5,Satisfactory,-1,-1,NA
RJio,Indoor,4G,5,Satisfactory,11.66890095,78.10443202,Tamil Nadu
Airtel,Indoor,4G,5,Satisfactory,17.706927,83.3105865,Andhra Pradesh
Airtel,Travelling,4G,1,Poor Voice Quality,28.19684205,76.62342944,Haryana
Airtel,Travelling,4G,1,Poor Voice Quality,28.19684205,76.62342944,Haryana
RJio,Indoor,4G,1,Poor Voice Quality,28.5332228,77.2151189,NCT
RJio,Outdoor,4G,4,Satisfactory,25.57628708,85.12656486,Bihar
RJio,Outdoor,4G,4,Satisfactory,25.47164502,85.09442135,Bihar
RJio,Outdoor,4G,1,Poor Voice Quality,19.1768701,77.32105843,Maharashtra
RJio,Outdoor,4G,4,Satisfactory,22.48041728,88.40531233,West Bengal
RJio,Indoor,4G,1,Poor Voice Quality,25.10608472,80.8371397,Uttar Pradesh
Vodafone,Indoor,3G,1,Poor Voice Quality,23.5521861,74.4574468,Rajasthan
RJio,Travelling,4G,1,Call Dropped,19.18764592,72.9717127,Maharashtra
RJio,Indoor,4G,1,Call Dropped,19.28282272,72.8627227,Maharashtra
RJio,Indoor,4G,4,Satisfactory,22.48055453,88.40515181,West Bengal
RJio,Outdoor,4G,1,Call Dropped,25.7566463,82.0817374,Uttar Pradesh
RJio,Outdoor,4G,1,Call Dropped,25.7566463,82.0817374,Uttar Pradesh
Airtel,Indoor,4G,1,Poor Voice Quality,-1,-1,NA
RJio,Indoor,4G,2,Poor Voice Quality,25.45512,78.58756,Uttar Pradesh
RJio,Indoor,4G,1,Poor Voice Quality,28.60105389,76.98571178,Haryana
RJio,Indoor,4G,5,Satisfactory,22.59341508,88.29879338,West Bengal
Airtel,Indoor,Unknown,4,Satisfactory,22.81042938,86.2216505,Jharkhand
Airtel,Indoor,4G,1,Call Dropped,18.00729302,79.54695781,Telangana
Airtel,Indoor,4G,1,Poor Voice Quality,19.2833708,72.8696934,Maharashtra
Airtel,Indoor,4G,5,Satisfactory,-1,-1,NA
Idea,Indoor,3G,5,Satisfactory,25.149382,82.585257,Uttar Pradesh
RJio,Indoor,4G,1,Poor Voice Quality,19.17632767,77.32217138,Maharashtra
BSNL,Indoor,3G,4,Satisfactory,-1,-1,NA
BSNL,Indoor,Unknown,5,Satisfactory,-1,-1,NA
BSNL,Outdoor,3G,5,Satisfactory,26.1180029,89.51217645,West Bengal
Airtel,Indoor,4G,5,Satisfactory,11.57530154,77.5885709,Tamil Nadu
Airtel,Indoor,4G,5,Satisfactory,11.57530154,77.5885709,Tamil Nadu
RJio,Indoor,4G,5,Satisfactory,22.59346757,88.29870828,West Bengal
BSNL,Indoor,2G,3,Satisfactory,16.79306713,80.8275229,Andhra Pradesh
RJio,Outdoor,4G,1,Poor Voice Quality,19.17756182,77.32140594,Maharashtra
Vodafone,Outdoor,4G,1,Poor Voice Quality,22.85422139,74.25069126,Gujarat
Vodafone,Outdoor,3G,1,Poor Voice Quality,22.68273258,88.29877285,West Bengal
Airtel,Outdoor,4G,1,Poor Voice Quality,19.44575095,72.82026376,Maharashtra
RJio,Indoor,4G,3,Satisfactory,22.06337409,75.39993284,Madhya Pradesh
RJio,Indoor,4G,5,Satisfactory,22.59315296,88.29861943,West Bengal
RJio,Indoor,4G,4,Satisfactory,26.41698539,74.62420353,Rajasthan
Vodafone,Indoor,4G,1,Poor Voice Quality,22.85422775,74.25071797,Gujarat
Airtel,Indoor,4G,5,Satisfactory,21.8731301,70.59303884,Gujarat
Vodafone,Indoor,3G,4,Satisfactory,-1,-1,NA
Airtel,Indoor,Unknown,4,Satisfactory,22.81042938,86.2216505,Jharkhand
BSNL,Indoor,3G,4,Satisfactory,-1,-1,NA
Vodafone,Indoor,3G,5,Satisfactory,19.2496988,72.8501178,Maharashtra
Airtel,Indoor,4G,5,Satisfactory,26.9363788,80.9385492,Uttar Pradesh
Airtel,Indoor,4G,1,Poor Voice Quality,26.9363788,80.9385492,Uttar Pradesh
Airtel,Indoor,4G,1,Poor Voice Quality,26.9363788,80.9385492,Uttar Pradesh
Airtel,Indoor,4G,1,Poor Voice Quality,26.9366224,80.9380052,Uttar Pradesh
Airtel,Indoor,4G,1,Poor Voice Quality,26.9366224,80.9380052,Uttar Pradesh
Airtel,Indoor,4G,1,Poor Voice Quality,-1,-1,NA
Airtel,Indoor,2G,1,Poor Voice Quality,-1,-1,NA
Airtel,Indoor,4G,1,Poor Voice Quality,26.9366224,80.9380052,Uttar Pradesh
Airtel,Outdoor,4G,5,Satisfactory,26.9366224,80.9380052,Uttar Pradesh
Airtel,Outdoor,4G,5,Satisfactory,26.9366224,80.9380052,Uttar Pradesh
Airtel,Indoor,4G,1,Poor Voice Quality,26.9366224,80.9380052,Uttar Pradesh
Airtel,Indoor,4G,1,Poor Voice Quality,26.9363964,80.9385248,Uttar Pradesh
Airtel,Indoor,4G,1,Poor Voice Quality,26.9363788,80.9385492,Uttar Pradesh
Airtel,Indoor,4G,2,Poor Voice Quality,26.9363788,80.9385492,Uttar Pradesh
Airtel,Indoor,4G,1,Poor Voice Quality,26.9363788,80.9385492,Uttar Pradesh
Idea,Outdoor,4G,5,Satisfactory,17.36267667,78.54397167,Telangana
Idea,Outdoor,4G,5,Satisfactory,17.36267667,78.54397167,Telangana
RJio,Outdoor,4G,2,Poor Voice Quality,18.49713844,73.96874544,Maharashtra
Airtel,Indoor,Unknown,5,Satisfactory,-1,-1,NA
Airtel,Outdoor,4G,5,Satisfactory,-1,-1,NA
Airtel,Indoor,3G,5,Satisfactory,17.494051,78.414001,Telangana
RJio,Outdoor,4G,2,Poor Voice Quality,19.17681855,77.32130234,Maharashtra
Airtel,Indoor,4G,4,Satisfactory,28.8748161,76.6445211,Haryana
RJio,Indoor,4G,5,Satisfactory,-1,-1,NA
RJio,Travelling,4G,4,Satisfactory,24.67906801,80.50538253,Madhya Pradesh
BSNL,Indoor,Unknown,5,Satisfactory,17.80093761,83.36937792,Andhra Pradesh
Idea,Indoor,3G,4,Satisfactory,18.5491056,73.9144872,Maharashtra
