Operator,In Out Travelling,Network Type,Rating,Call Drop Category,Latitude,Longitude,State Name
Airtel,Outdoor,4G,4,Satisfactory,-1,-1,NA
RJio,Indoor,4G,3,Poor Voice Quality,15.44434339,74.97615858,Karnataka
Airtel,Indoor,4G,4,Satisfactory,13.212275,75.4962047,Karnataka
Airtel,Outdoor,4G,5,Satisfactory,21.58891,86.70910167,Odisha
Airtel,Outdoor,4G,2,Poor Voice Quality,13.212275,75.4962047,Karnataka
RJio,Indoor,4G,5,Satisfactory,-1,-1,NA
Airtel,Outdoor,4G,4,Satisfactory,13.2124427,75.4961859,Karnataka
RJio,Indoor,4G,5,Satisfactory,-1,-1,NA
RJio,Indoor,4G,5,Satisfactory,-1,-1,NA
Airtel,Outdoor,4G,5,Satisfactory,21.58902333,86.70927667,Odisha
RJio,Indoor,4G,5,Satisfactory,-1,-1,NA
RJio,Travelling,4G,5,Satisfactory,23.18443658,75.80043831,Madhya Pradesh
RJio,Outdoor,4G,5,Satisfactory,23.06405897,75.99536493,Madhya Pradesh
RJio,Indoor,4G,5,Satisfactory,-1,-1,NA
RJio,Outdoor,4G,1,Call Dropped,-1,-1,NA
Idea,Indoor,4G,5,Satisfactory,-1,-1,NA
Airtel,Outdoor,4G,4,Satisfactory,14.42760869,78.83001434,Andhra Pradesh
Airtel,Outdoor,4G,4,Satisfactory,14.42763088,78.83005744,Andhra Pradesh
Airtel,Outdoor,4G,4,Satisfactory,14.42763088,78.83005744,Andhra Pradesh
RJio,Indoor,4G,5,Satisfactory,22.71809484,75.867879,Madhya Pradesh
RJio,Indoor,4G,5,Satisfactory,22.71809484,75.867879,Madhya Pradesh
RJio,Travelling,4G,5,Satisfactory,22.71809484,75.867879,Madhya Pradesh
RJio,Travelling,4G,5,Satisfactory,22.74648708,75.8875825,Madhya Pradesh
Vodafone,Indoor,4G,1,Call Dropped,22.5929297,88.3386533,West Bengal
RJio,Indoor,4G,5,Satisfactory,18.73657692,76.39454445,Maharashtra
RJio,Indoor,4G,5,Satisfactory,18.73657692,76.39454445,Maharashtra
